Role,Companies,Location,Experience,Skills,Company Size,Eligibility Criteria,Enrollment Type,Salary,Min Salary,Max Salary,Min Experience
Data Analyst,Bristlecone,Mumbai,5-10 Yrs,Python\nMachineLearning\nDataAnalysis\nCustomerAnalytics\nBusinessAnalytics,2100,UG/PG,Full Time,1000000-2000000,1000000,2000000,5
Machine Learning Engineer,Budidbud,Mohali,2-4 Yrs,NaturalLanguageProcessing\nDeepLearning\nMachineLearning\nPython,200,UG/PG,Full Time,400000-600000,400000,600000,2
Machine Learning/NLP Expert,Busibud Solutions Pvt Ltd,Jalandhar,2 - 4 years,NaturalLanguageProcessing\nMachineLearning\nPython,200,Any Graduate,"Full Time, Permanent",360000-550000,360000,550000,2
Data Scientist,Buzzworks Business Services Pvt. Ltd.,"Kolkata, Hyderabad, Chennai, Pune",4-9 Yrs,Python\nMachineLearning\nDataAnalysis\nSQL\nDataMining\nStatisticalModeling,15000,UG/PG,Full Time,1500000-3000000,1500000,3000000,4
Machine Learning Engineer,CapeStart,Chennai,2-5 Yrs,Python\nSQL\nML\nTensorFlow\nPytorch\nONXX\nScikit,500,UG/PG,Full Time,600000-900000,600000,900000,2
Data Analyst,Capgemini,Pune,6 - 9 years,DataAnalysis\nExcel\nSAS\nHadoop\nManagerTechnology\nDataAnalystOperations,325000,Any Graduate,"Full Time, Permanent",900000-1200000,900000,1200000,6
Data Scientist,Capgemini,Hyderabad,2 - 7 years,TextMining\nDeepLearning\nCoding\nAnalyticalMachinelearning\nDataVisualization,325000,B.Tech,"Full Time, Permanent",600000-850000,600000,850000,2
Data Scientist,CarbyneTech,"Secunderabad,Hyderabad",4-8 Yrs,MachineLearning\nDeepLearning\nNumpy\nHadoop\nPython\nR\nTimeForeCast,2000,UG,Full Time,NA,#VALUE!,#VALUE!,4
Data Scientist,Caspex,"Noida, Hyderabad, Chennai",4-9 Yrs,Python\nR\nSQL\nMachineLearning\nTableau\nPowerBi,400,UG,Full Time,1500000-2000000,1500000,2000000,4
Machine Learning Engineer,Caspex Corp,"Noida,Hyderabad,Chennai",4-9 Yrs,Python\nExploratoryDataAnalysis\nMachineLearning\nTableau\nR\nAnalysis\Nsql,"1,000",UG/PG,Full Time,750000-950000,750000,950000,4
Machine Learning Engineer,Caspex Corp.,"Noida,Hyderabad,Chennai",4-9 Yrs,Python\nMachineLearning\nDataAnalysis\nSQL\nR\nKNN,1000,UG,Full Time,1500000-2000000,1500000,2000000,4
Data Scientist,Celebal Technologies Pvt Ltd,Noida,3 - 8 years,Python\nMachineLearning\nArtificialIntelligence\nTensorflow\nNeuralNetworks\nNaturalLanguage Processing,5000,Any Graduate,"Full Time, Permanent",500000-950000,500000,950000,3
Data Scientist,Centre for Computational Technologies Pvt. Ltd.,Pune,1 - 3 years,SAN\nDataModeling\nCoding\nCDConsulting\nMachineLearning\nAutodeskdatavisualization,200,Any Graduate,"Full Time, Permanent",1200000-1500000,1200000,1500000,1
Data Analyst,Coforge,Gurgaon,5 - 10 years,Data Extraction\nSQL,21000,Any Graduate,"Full Time, Permanent",360000-500000,360000,500000,5
Machine Learning Engineer,Cogniticia,"Kolkata,Mumbai,Hyderabad,Chennai,Pune",3-8 Yrs,Kubernetes\nPython\nGooleVertix\npredictiveAnalytics\nsql\nAzureMl,500,UG/PG,Full Time,500000-1400000,500000,1400000,3
Data Engineer,Confidential Company,Chennai,12-14 Yrs,SQL\nNoSQL\nAWS\nComputerScience\nPythonPackages\nMachineLearning,"1,000",PG/Phd,Full Time,700000-1400000,700000,1400000,12
Machine Learning Engineer,Congo,Chennai,4-8 Yrs,PyTorch\nKeras\nBoto\nGit\nboto\nAmazonEC2\nubuntu,200,UG/PG,Full Time,600000-950000,600000,950000,4
Data Scientist,Connexions,Bengaluru,5 - 7 years,DataScience\nVisualization\nEDA\nDataScientist\nArtificialIntelligence\nDataManagement\nMachineLearningAlgorithm,1000,B.Tech,"Full Time, Permanent",1500000-1700000,1500000,1700000,5
Machine Learning Engineer,CoreStack,Chennai,5-8 Yrs,Python\nAWS\nNumPy\nPandas\nTimeSeriesforecasting\nTensorflow,200,PG/Phd,Full Time,600000-800000,600000,800000,5
Data Scientist,CRED,Bengaluru,2 - 5 years,DataModeling\nEnterpriseApplications\nAnalyticalConsultingMachineLearning,600,Any Graduate,"Full Time, Permanent",1200000-1600000,1200000,1600000,2
Data Scientist,Crescendo global,Mumbai,6-10 Yrs,BigData\nDeepLearning\nLinearRegression,400,UG,Full Time,1500000-2500000,1500000,2500000,6
Machine Learning Engineer,Cult,"Pune,Ahmedabad,Bengaluru",2-7 Yrs,PyTorch\njava\nHadoop\nDeepLearning\nKeras\nTenserFlow\nML,NA,UG,Full Time,1500000-3000000,1500000,3000000,2
Machine Learning Engineer,Cult HR Organization,"Pune, Ahmedabad, Bengaluru",2-7 Yrs,MachineLearning\nPython\nTensorflow\nJava\nC++\nDeepLearning\nHadoop,100,UG,Full Time,1500000-3000000,1500000,3000000,2
Data Scientist,Cygnus,Hyderabad,5-7 Yrs,SQL\nDeepLearning\nSikitLearn\npandas,200,UG/PG,Full Time,1000000-1600000,1000000,1600000,5
Data Scientist,Cyient,Hyderabad,6 - 11 years,DataMining\nMonitoring\nPython,10000,Any Graduate,"Full Time, Permanent",500000-750000,500000,750000,6
Data Scientist,CYIENT,Hyderabad,5-10 Yrs,Python\nSQL\nAzureML\nMachineLearning\nNLP\nAzureDatabricks\nDataAnalysis\nScala,10000,UG/PG,Full Time,1000000-1500000,1000000,1500000,5
Data Analyst,DataBeat,Hyderabad,2-7 Yrs,Python\nMachineLearning\nDataMining\nSQL\nFrontEnd\nDataAnalysis,50,UG,Full Time,720000-1200000,720000,1200000,2
Data Analyst,DBS,Mumbai,3-8 Yrs,DataAnalysis\nPython\nMachineLearning\nMySQL\nTensorflow\nSAS\nHADOOP,21000,UG/PG,Full Time,1000000-1300000,1000000,1300000,3
Machine Learning Engineer,Decimal point innovative,"Mumbai,Gandhinagar,Nasik",0-2 Yrs,Automation\nSQL\nDataMining\n DataVisualization\nMonitoring\nPython,200,UG,Full Time,500000-800000,500000,800000,0
Data Scientist,Deepsphere AI india,Chennai,3-7 Yrs,Kafka\nPython\nScala\nkubernetes\njupyter,50,UG/PG,Full Time,375000-800000,375000,800000,3
Machine Learning Engineer,Dell,Bengaluru,2-7 Yrs,Python\nMachineLearning\nApacheSpark\nApacheKafka\nMangoDB\nTensorflow\nSQL\nDataScience,158000,UG,Full Time,NA,#VALUE!,#VALUE!,2
Machine Learning Engineer,Dell,Bengaluru,2-7 Yrs,Apache\nSpark\nkafka\nPython\nArtificalIntelligence\nMachineLearning,100000,UG,Full Time,NA,#VALUE!,#VALUE!,2
Data Scientist,Dell Technologies,Bengaluru,6 - 11 years,RSQL\nPython\nDataScience\nExploratoryData Analysis\nArtificialIntelligence\nRiskAnalyticsTableau,158000,Any Graduate,"Full Time, Permanent",550000-1000000,550000,1000000,6
Data Scientist,Demographic HR Services,Mumbai,1-5 Yrs,Python\nMachineLearning\nDataAnalysis\nDataScience\nPowerBi\nTableau,3500,UG,Full Time,100000-500000,100000,500000,1
Data Engineer,DMI Innovations Pvt. Ltd,Noida,3 - 7 years,DataEngineer\nMachineLearning\nArtificialIntelligence,5000,B.Tech/MCA/MSc/PhD,"Full Time, Permanent",NA,#VALUE!,#VALUE!,3
Data Scientist,Dream11,Mumbai,4-9 Yrs,Python\nMachineLearning\nDataAnalysis\nCassandra\nMySQL\nMangoDB\nAndroid\nDataProcessing,542,UG,Full Time,2300000-3000000,2300000,3000000,4
Machine Learning Engineer,Drive visual,Chennai,0-2 Yrs,MachineLearning\nPython\nAlgorithms,50,UG/PG,Full Time,300000-450000,300000,450000,0
Data Engineer,Essence,New Delhi,1-3 Yrs,Python\nMachineLearning\nDataAnalysis\nBigData\nDataScience\nR\nDigitalMarketing,2000,UG/PG,Full Time,980000,#VALUE!,#VALUE!,1
Machine Learning Engineer,Ethos Life,Bengaluru,1 - 5 years,DataScienceAlgorithms\nNaturalLanguageProcessing\nBigData\nResearchMachineLearning\nDeepLearningPython,500,Any Graduate,"Full Time, Permanent",1400000-2100000,1400000,2100000,1
Data Analyst,Everest Fleet Pvt. Ltd.,Thane,4-8 Yrs,MachineLearning\nDataAnalysis\nGoogleSheets\nDataManagement,200,UG,Full Time,600000-850000,600000,850000,4
Data Scientist,EXL,"Noida, Hyderabad, Gurgaon, Bengaluru",1-6 Yrs,MachineLearning\nDeepLearning\nNlp\nArtificialIntelligence\nGraphNeuralNetwork\nReinforcementLearning,21000,UG/PG,Full Time,NA,#VALUE!,#VALUE!,1
Machine Learning Engineer,EXL,Bengaluru,1-6 years,DataEngineering\nKeras\nMachineLearning\nPython\nML\nSQL,31000,Any Graduate,"Full Time, Permanent",1500000-1700000,1500000,1700000,1
Data Scientist,Exponent,Mumbai jaipur,1-6 Yrs,DataScience\nNaturalLanguageProcessing\nDeepLearning\nComputerVision\nSpark,500,UG/PG,Full Time,2000000-3500000,2000000,3500000,1
Data Scientist,Fire Eye,Bengaluru,6-10 Yrs,ComputerVision\nDeepLearning\nDataMining\nPython\nMATLAB\nSupervision,500,UG/PG,Full Time,NA,#VALUE!,#VALUE!,6
Data Scientist,First Meridian,Chennai,10-16 Yrs,Python\nDataScience\nMachineLearning\nstatistics,659,UG/PG,Full Time,2500000-3500000,2500000,3500000,10
Data Scientist,Flipkart,Bengaluru,5 - 8 years,DataScience\nE-commerce\nStatistics,50000,Any Graduate,"Full Time, Permanent",400000-600000,400000,600000,5
Data Scientist,Fractal Analytics,Bengaluru,3-7 Yrs,Python\nSupplyChainManagement\nLinux\nRDBMS\nDataStructures\nSEM,2500,UG,Full Time,NA,#VALUE!,#VALUE!,3
Data Scientist,Freshdesk,Bengaluru,5 - 8 years,DataScience\nNLP\nMachineLearningAlgorithms,4141,Any Graduate,"Full Time, Permanent",900000-1900000,900000,1900000,5
Data Scientist,GadgEon,Kochi,1-6 years,DataScience\nMachineLearning,1000,Any Graduate,"Full Time, Permanent",1000000-2000000,1000000,2000000,1
Machine Learning Engineer,Gadgeon,Kochi,2-6 Yrs,Maths\nAlgorithms\nArtificalIntelligence\nstatistics\nPython,500,UG/PG,Full Time,1000000-2000000,1000000,2000000,2
Data Scientist,Gempact,Bengaluru,3-8 Yrs,Python\nMachineLearning\nDataScience\nNLP\nArtificialIntelligence,77000,UG,Full Time,1000000-2000000,1000000,2000000,3
Data Scientist,Genie Talk,Indore,3 - 5 years,DataScience\nDataScientist\nNaturalLanguageProcessing\nNeural Networks\nDataMining\nData Collection\nMachineLearning\nDeepLearning,150,Any Graduate,"Full Time, Permanent",NA,#VALUE!,#VALUE!,3
Data Analyst,Genpact,"Mumbai,Chennai,Bengaluru,Pune,Hyderabad,Gurgaon",4-9 Yrs,Python\nR\nDataAnalytics\nTimeseries\nModelBuilding\nForecastingModels,"1,00,000",UG/PG,Full Time,600000-800000,600000,800000,4
Data Scientist,Genpact,Bengaluru,5-10 years,DataScience\nNLP\nMachineLearning\nAlgorithms,109600,MSc/Mtech Statistics or Computing,"Full Time, Permanent",500000-1500000,500000,1500000,5
Data Scientist,Genpact,Bengaluru,3-8 Yrs,MachineLearning\nArtificalIntelligence\nForecasting\nPython,50000,UG,Full Time,1000000-2000000,1000000,2000000,3
Data Analyst,Gloinnt,Chennai,4-7 Yrs,DataAnalysis\nSQL\nPython\nmachineLearning\nSSRS\nSSIS\nMicrosoft,200,UG,Full Time,360000-500000,360000,500000,4
Data Analyst,Gojek,Bengaluru,3-9 Yrs,SQL\nPython\nMachineLearning\nStatisticalAnalysis\nDataAnalytics\nDBMS,3000,UG/PG,Full Time,1000000-1500000,1000000,1500000,3
Data Analyst,Gojek,Bengaluru,3-8 Yrs,SQL\nPython\nMachineLearning\nStatisticalAnalysis\nDataAnalytics\nCRM\nDigitalMarketing,3000,UG/PG,Full TIme,2200000-2500000,2200000,2500000,3
Data Engineer,Goodyear,"Bengaluru, Delhi",8-13 Yrs,Python\nAWS\nDataAnalysis\nDataScience\nBigDataTechnology\nCloud,726,PG,Full Time,1100000-1800000,1100000,1800000,8
Cloud Migration Consultant,Google,Bengaluru,2-6 Yrs,ProductManagement\nMachineLearning\nArtificialIntelligence\nDataAnalysis\nComputerVision,135000,UG/PG,Full Time,2200000-2900000,2200000,2900000,2
Software Engineer,Google,Bengaluru,5-10 Yrs,MachineLearning\nArtificialIntelligence\nDeBugging\nDataStructures\nDataAnalysis\nSoftwareDesign,135000,UG/PG,Full Time,1200000-3000000,1200000,3000000,5
Machine Learning Engineer,GRAINPAD,Mohali,1 - 5 years,DataScience\nNLP\nMachineLearningAlgorithms,10,B.Tech,"Full Time, Permanent",800000-1000000,800000,1000000,1
Machine Learning Engineer,Grainpad,"Mohali,New Delhi,Chandigarh",1-5 Yrs,DeepLearning\nCnn\nLstm\nArtificalIntelligence\nDataScience,5000,UG/PG,Full Time,900000-1200000,900000,1200000,1
Data Scientist,Gravity,Bengaluru,0-4 Yrs,Django\nDeepLearning\nReactJs\nMachineLearning,50,UG/PG,Full Time,360000-1000000,360000,1000000,0
Data Scientist,Great Lakes E-Learning Services Pvt. Ltd.,"Gurgaon, Bengaluru",1-6 yrs,DataScience\nMachineLearning\nPython\nPredictiveModeling\nDeepLearning,1000,UG/PG,Full Time,600000-1100000,600000,1100000,1
Data Analyst,GUS Global Services,Gurgaon,3-4 Yrs,R\nSQL\nPython\nMachineLearning\nPowerBi\nTableau\nDataAnalytics,500,UG/PG,Full Time,NA,#VALUE!,#VALUE!,3
COE Lead- Artificial Intelligence,Hanu Software Solutions,Remote,9-14 Yrs,Python\nMachineLearning\nAzure\nAzureMLStudio\nADL\nDeepLearning\nArtificialIntelligence\nAzureDataLakes,700,UG/PG,Full Time,3000000-4500000,3000000,4500000,9
Data Engineer,HCL,"Hyderabad,Chennai,Bengaluru",3-8 Yrs,ITSkills\nPython\nTesting\nDatasScience\nMachineLearning\nConfluence\nCassandra,"1,90,000",UG/PG,Full Time,950000-1300000,950000,1300000,3
Machine Learning Engineer,HCL,"Chennai,Bengaluru,Delhi",0 Yrs,Java\nMachineLearning\nArtificalIntelligence\nDBMS,100000,UG,Full Time,2750000,#VALUE!,#VALUE!,#VALUE!
Data Scientist,Hewlett-Packard (HP),Bengaluru,7 - 10 years,DataModeling\nDataScience\nDataScientistmodel\nArchitecture\nMachineLearningModels,59000,Any Graduate,"Full Time, Permanent",900000-1900000,900000,1900000,7
Machine Learning Engineer,HopeQure Wellness Soutions Pvt. Ltd.,Noida,2-5 Yrs,Python\nMachineLearning\nDataScience\nDeepLearning\nNlP\nArtificialIntelligence,650,UG/PG,Full Time,600000-800000,600000,800000,2
Machine Learning Engineer,HP,Chennai,4-8 Yrs,DeepLearning\nProductionSupport\nProductionSystems\nVersionControl\nBugTracking,"51,000",UG/PG,Full Time,1200000-1850000,1200000,1850000,4
Machine Learning Engineer,Hubino,Chennai,2-3 Yrs,C++\nComputervision\nTimeseries\nARM\nImageProcessing,200,UG/PG,Full Time,500000-900000,500000,900000,2
Data Analyst,HUDL India Pvt. Ltd.,"Mumbai, Pune, Bengaluru",5-10 Yrs,Tableau\nMachineLearning\nDataAnalysis\nDBT\nDaataModeling\nQlik\nEtl\nStatisticalModeling,2200,UG/PG,Full Time,1800000-2500000,1800000,2500000,5
Machine Learning Engineer,Huquo Consulting Pvt Ltd,Bengaluru,3 - 8 years,PredictiveModeling\nExcel\nProbability\nBusinessCommunicationSkills\nDataAnalytics\nMachine Learning\nBusinessDesignAnalytics,50,Any Graduate,"Full Time, Permanent",NA,#VALUE!,#VALUE!,3
Technical Architect,Hurix,Remote,5-10 Yrs,NoSQL\nNeo4J\nDjango\nMLAndAI\nCassandra\nDRF\nMangoDB\nAWS\nPython,1000,UG/PG,Full Time,2500000-4000000,2500000,4000000,5
Artificial Intelligence Architect,Hurix Digital,Remote,5-10 Yrs,Python\nMachineLearning\nNoSQL\nDjango\nNeo4J\nCassandra\nMangoDB\nAWS\nArtificialIntelligence,1000,UG,Full Time,2500000-4000000,2500000,4000000,5
Data Scientist,Hyper Automation Solutions Private Limited,Indore,2 - 6 years,CommunicationSkills\nArtificialIntelligence\nDataManagement\nProblemSolving\nDataAnalysis\nMachine Learning\nPython,500,B.Tech/Mtech/MSc,"Full Time, Permanent",1500000-2000000,1500000,2000000,2
Machine Learning Engineer,HyreFox Consultants pvt Ltd,Jaipur,3 - 7 years,ComputerScience\nC++\nAnalyticalArtificialIntelligence\nMachine learning\nLISPPatternRecognition,200,Any Graduate,"Full Time, Permanent",500000-1000000,500000,1000000,3
Data Scientist,IBM,Bengaluru,8-12 years,Consulting\nMachineLearning\nPredictiveModeling\nSPSS\nOpenSourceForecasting\nMATLAB,400000,B.Tech,"Full Time, Permanent",1500000-2000000,1500000,2000000,8
Data Scientist,IBM,Bengaluru,5-7 Yrs,DataModeling\nPython\nDataStructures\nDeepLearning,100000,UG/PG,Full Time,500000-1300000,500000,1300000,5
Machine Learning Engineer,IBM,Bengaluru,4-6 Yrs,BigData\nPython\nDeepLearning\nInterpersonalSkills\nAWS\nCloudComputing\nApplicationDevelopement,400000,UG,Full Time,NA,#VALUE!,#VALUE!,4
Test Specialist:Middleware,IBM,Chennai,4-8 Yrs,Automation\nDataAnalysis\nCoding\nTestmanagement\nAnalytical\nDebugging,"3,45,000",UG/PG,Full Time,600000-1100000,600000,1100000,4
Data Analyst,Icon Clinical Research,Chennai,8-10 Yrs,DataAnalysis\nAssurance\nGoogleAnalytics\nWorkManagement\nProcessimprovement,200,PG/Phd,Full Time,100000-500000,100000,500000,8
Data Analyst,Icon Clinical Research,Chennai,9-10 Yrs,Graphics\nComputerScience\nC++\nLinux\nMachineLearning\nWindows\nTestcases,200,PG/Phd,Full Time,1500000-2000000,1500000,2000000,9
Machine Learning Engineer,IDBRT,Hyderabad,3-8 Yrs,MachineLearning\nPython\nCloudComputing\nChatBotDevelopement\nComputerVision\nVirtualization,NA,UG/PG,Full Time,750000-1200000,750000,1200000,3
Data Analyst,IDFC first Bank,Mumbai,5-9 yrs,PowerBi\nMachineLearning\nDataAnalysis\nTableau\nSAS\nAuditing,21000,UG/PG,Full Time,720000-1150000,720000,1150000,5
Data Scientist,IEMS,Pune,2-5 Yrs,Cnn\nRnn\nRegressionTimeSeries\nMl\nNLP,NA,UG,Full Time,1200000-1500000,1200000,1500000,2
Data Scientist,Ignatiuz Software Pvt. Ltd,Indore,3 - 8 years,ComputerScience\nAutomation\nDataScience\nAnalyticalWeb development\nMachineLearning,200,Any Graduate,"Full Time, Permanent",650000-950000,650000,950000,3
Machine Learning Engineer,IIT Madras,Chennai,2-3 Yrs,ObjectDetection\nDeepLearning\nComputervision,"2,000",UG/PG,Full Time,600000-1100000,600000,1100000,2
Machine Learning Engineer,iKomet Technology Solutions,Chennai,3-5 Yrs,Python\nMachineLearning\nAI\nPythonLibraries\nNLP\nDataScience\nBigData,50,UG/PG,Full Time,800000-1100000,800000,1100000,3
Data Scientist,iLink Systems,"Chennai,Bengaluru,Pune",3-8 Yrs,MachineLearning\nDeepLearning\nPython\nPowerBI\nAzureML\nNumPy\nTableau,500,UG/PG,Full Time,800000-1000000,800000,1000000,3
Data Scientist,Imerys,Hyderabad,3-6 Yrs,Python\nMachineLearning\nDataAnalysis\nDataManagement\nGoogleAppScript,16800,UG/PG,Full Time,500000-1000000,500000,1000000,3
Teradata Administrator,Incedo,Chennai,3-8 Yrs,DBA\nTeradata\nSQL\nDataScience\nConsulting\nProgramManagement,"1,350",UG/PG,Full Time,1800000-2200000,1800000,2200000,3
Machine Learning Engineer,IndiaMART,Noida,1 - 3 years,Algorithms\nDataExtraction\nMachineLearning\nPython,3049,B.Tech,"Full Time, Permanent",NA,#VALUE!,#VALUE!,1
Software Engineer,Ingram Micro,Chennai,3-8 Yrs,ITSkills\nJava\nPython\nTesting\nMachineLearning\nArtificialIntelligence\nCloud,"35,000",UG/PG,Full Time,700000-1400000,700000,1400000,3
Data Scientist,INK IT Solutions,"Noida,Bengaluru",3-5 Yrs,Statistics\nModeling\nDeepLearning\nMachineLearning,200,UG/PG,Full Time,150000,#VALUE!,#VALUE!,3
Data Scientist,INK IT Solutions and Consulting,Bengaluru,3 - 5 years,StatisticsModelling\nPython,200,B.Tech/B.E. in Any Specialization,"Full Time, Permanent",NA,#VALUE!,#VALUE!,3
Machine Learning Engineer,Innodata,Noida,3-4 Yrs,Python\nDataMining\nMachineLearning\nNLP\nAWS\nGCP\nAzure,5000,UG,Full Time,800000-1000000,800000,1000000,3
Machine Learning Engineer,Innodata Isogen,Delhi,3-4 yrs,Python\nMachineLearning\nDataScience\nNLP\nArtificialIntelligence\nTextMining,5000,UG/PG,Full Time,800000-1000000,800000,1000000,3
Data Scientist,Innominds,"Bengaluru,Hyderabad",2-7 Yrs,DeepLearning\nDataMining\nDataModeling,500,UG/PG,Full Time,NA,#VALUE!,#VALUE!,2
Machine Learning Engineer,Innoplexus Consultinng Services Pvt. Ltd.,Pune,7-12 Yrs,Python\nMachineLearning\nDataScience\nProjectManagement\nReact\nNLP\nPMP\nUI\nMangoDB\nAgile,500,UG,Full Time,1200000-1600000,1200000,1600000,7
Machine Learning Architect,Innova Solutions,"Chennai,Pune",10-20 Yrs,AWS S3\nMachineLearning\nBigData\nPython\nJupyter\nCassandra\nStrata,"5,000",PG,Full Time,800000-1300000,800000,1300000,10
Software Engineer,Intelliswift,"Pune,Ahmedabad,Chennai,Bengaluru,Delhi,Mumbai",5-10 Yrs,ITSkills\nJava\nJ2EE\nPython\nMachineLearning\n.Net\nTableau\nasp.net,"5,000",UG/PG,Full Time,600000-1200000,600000,1200000,5
Data Scientist,Jio,"Hyderabad,Bengaluru,Mumbai,Gurgaon",2-6 Yrs,NLP\nComputerVision\nPython\NPyTorch\nTenserFlow,50000,UG/PG,Full TIme,NA,#VALUE!,#VALUE!,2
Machine Learning Engineer,JK Technosoft,Noida,4 - 5 years,DeepLearning\nAlgorithms\nNLP\nMachineLearning\nArtificialIntelligence\nUnsupervisedLearning,10,B.Tech/B.E. in Any Specialization,"Full Time, Permanent",100000-500000,100000,500000,4
Data Engineer,Jubilant Foodworks,Noida,12 - 14 years,Data Engineering,21174,Any Graduate,Full Time,400000-700000,400000,700000,12
Data Analyst,Jubliant Foodworks,Mumbai,7-12 Yrs,Python\nMachineLearning\nDataAnalysis\nExcel\nPowerpoint\nPowerBi,22000,UG,Full Time,900000-1200000,900000,1200000,7
Data Scientist,Jumio,Jaipur,4 - 6 years,R\nPowerBI\nStatistics\nAnalytics\nPython\nSQL,1085,Any Graduate,"Full Time, Permanent",1500000-1700000,1500000,1700000,4
"Engineer,Product Applications",Kla Tencor,Chennai,3-7 Yrs,DataAnalysis\nChipDesign\nAnalytical\nProcessControl\nPackaging,"12,000",UG/PG,Full Time,750000-1200000,750000,1200000,3
Data Scientist,Kwalee India Pvt. Ltd.,Bengaluru,1-6 Yrs,DataScience\nNoSQL\nTensorflow\nMachineLearning\nDeepLearning\nSQL\nDBMS,200,UG,Full Time,NA,#VALUE!,#VALUE!,1
Data Scientist,Larsen & Toubro(L&T),"Mysore,Chennai,Hyderabad",4-6 Yrs,NLP\nPytorch\nMachineLearning\nDeepLearning\nDataScience\nDataMining\nTensorflow,"3,30,000",UG/PG,Full Time,650000-1400000,650000,1400000,4
Data Scientist,Louis Dreyfus,Bengaluru,0-3 Yrs,Python\nComputerVision\nMachineLearning\nMaths\nstatistics\nSQL,5000,PG,Full Time,NA,#VALUE!,#VALUE!,0
Data Analyst,Mace Group,Gurgaon,3-7 years,BusinessIntelligence\nMicrosoft\nContinuousImprovement\nVisualDesign,24,Any Graduate,Full Time,500000-1300000,500000,1300000,3
Data Analyst,Matrix HR Technologies Pvt. Ltd.,Bengaluru,4-9 Yrs,Python\nMachineLearning\nDataAnalysis\nSQL\nExcel\nPoweBi\nTableau,200,UG,Full Time,1000000-2000000,1000000,2000000,4
Data Analyst,Max Life Insurance,Gurgaon,2-5 yrs,Python\nMachineLearning\nDataAnalysis\nDataScience\nArtificialIntelligence\nDeepLearning,12082,UG/PG,Full Time,1000000-1300000,1000000,1300000,2
Machine Learning Engineer,Max life insurance,Gurgaon,2-5 Yrs,Dnn\nRnn\nLtsm\nMl\nDl\nNlp,50000,PG,Full Time,1000000-1300000,1000000,1300000,2
Data Analyst,Maximus Global Consulting Services LLP,Mumbai,2-7 Yrs,Python\nMachineLearning\nDataAnalysis\nSQLDatabase\nR\nExcelVba,174,UG,Full Time,1200000-1600000,1200000,1600000,2
Data Scientist,Micron,Hyderabad,0-1,DataScience\n DataVisualization\nMachineLearning\nPython,200,UG,Internship,NA,#VALUE!,#VALUE!,0
Data Scientist,Micron Tech,Hyderabad,8 - 13 years,HBase\nHiveSpark\nTensorflow\nMachineLearning\nSQL\nDataScience,40000,B.Tech/MCA/MSc/PhD,"Full Time, Permanent",NA,#VALUE!,#VALUE!,8
Data Scientist,Micron Tech,Hyderabad,5-10 Yrs,MachineLearning\nDeepLearning\nComputerVisionn\nNlp,NA,UG/PG,Full Time,NA,#VALUE!,#VALUE!,5
Data Scientist,Microsoft,Noida,5 - 9 years,ComputerScience\nC++\nCloudApplications\nMachineLearning\nCloudOnlineAdvertising,181000,Any Graduate,"Full Time, Permanent",1200000-1700000,1200000,1700000,5
Machine Learning Engineer,Microsoft,Bengaluru,4-8 Yrs,Python\nMachineLearning\nC++\nDataAnalysis\nDeepLearning\nComputerVision,144000,UG/PG,Full Time,3500000-4000000,3500000,4000000,4
Data Scientist,Mindtree,India,9-14 Yrs,DataScience\nDeepLearning\nComputerVision\nMachineLearning\nDataMining,50000,UG/PG/PHD,Full Time,100000-500000,100000,500000,9
Data Scientist,Minions Ventures,Bengaluru,3 - 4 years,TextMining\nDataMining\nComputerScience\nMachine Learning,144,Any Graduate,"Full Time, Permanent",NA,#VALUE!,#VALUE!,3
Data Scientist,MNA solutions,Remote,8-13 Yrs,Python\nComputerVision\nMachineLearning\Spark,50,UG/PG,Full Time,NA,#VALUE!,#VALUE!,8
Data Scientist,Mobiotics,Bengaluru,2-5 Yrs,BigDataAnalytics\nNumpy\nDeepLearning\nKafka\nMangoDB,50,UG,Full Time,500000-1000000,500000,1000000,2
Data Scientist,Mphasis,Bengaluru,7-10 years,Tensorflow\nC++\nAlgorithms\nOpencv\nImageProcessing,29473,B.Tech,"Full Time, Permanent",500000-750000,500000,750000,7
Machine Learning Engineer,MulticoreWare,Chennai,1-6 Yrs,SoftwareDevelopment\nAlgorithms\nC++\nDataStructures\nComputerScience\nMachineLearning,300,UG/PG,Full Time,800000-1200000,800000,1200000,1
Software Engineer,MulticoreWare,Chennai,1-6 Yrs,DLFrameworks\nAlgorithms\nOpenCV\nTensorFlow\nAnalytical\nC\nMachineLearning,300,UG/PG,Full Time,800000-1000000,800000,1000000,1
Data Analyst,Myntra,Bengaluru,2-4 Yrs,Java\nR\nPython\nMachineLearning\nDataAnalytics\nScala\nBigData\nSpark,42000,UG/PG,Full Time,360000-1000000,360000,1000000,2
Data Analyst,Myntra,Bengaluru,3-5 Yrs,Java\nR\nPython\nMachineLearning\nDataAnalytics\nScala\nBigData\nSpark,42000,UG/PG,Full Time,500000-1500000,500000,1500000,3
Data Scientist,NEC,"Noida,Gurgaon",6-11 Yrs,DataScience\nNaturalLanguageProcessing\nDeepLearning\nComputerVision\nDataMining,5000,UG/PG,Full Time,2250000-3750000,2250000,3750000,6
Tibco Spotfire Developer,Ness,"Mumbai,Hyderabad,Chennai,Bengaluru",4-9 Yrs,Spotfire\nTibco\nSQL\nStoredProcedures\nSQLqueries\nDatavisualization\nAnalytics,"3,500",UG/PG,Full Time,550000-750000,550000,750000,4
