Role,Companies,Location,Experience,Skills,Company Size,Eligibility Criteria,Enrollment Type,Salary,Min Salary,Max Salary,Min Experience
Machine Learning Engineer,Accunture,Pune,12-15 Yrs,MachineLearning\nDeepLearning\nBigData\nPython,100000,UG/PG,Full Time,NA,#VALUE!,#VALUE!,12
Data Engineer,Acidaes Solutions Pvt. Ltd.,Mumbai,3-8 Yrs,Data Quality\nArtificial Intelligence\nRequirement Gathering\nBig Data\nData Governance\nMachine Learning\nPython,500,PG/Phd,Full Time,1700000-2300000,1700000,2300000,3
Data Engineer,Adidas,Gurgaon,5-10 Yrs,DataAnalysis\nDBMS\nPython\nMachineLearning\nDataStructures\nDatabaseDesign,59000,UG/PG,Full Time,1500000-3200000,1500000,3200000,5
Data Scientist,Adidas,"Gurgaon, USA",5-10 Yrs,DataAnalysis\nDBMS\nPython\nMachineLearning\nDataStructures\nDatabaseDesign,59000,UG/PG,Full Time,NA,#VALUE!,#VALUE!,5
Data Scientist,Aditech IT and Consultancy Services Pvt Ltd,"Chennai, Pune, Delhi NCR, Mumbai, Bengaluru, Kolkata",4-9 Yrs,SAS\nScala\nArtificial Intelligence\nAI\nRandom Forests\nSVM\nMachine Learning\nDeep Learning,50,PG/Phd,Full Time,1600000-2200000,1600000,2200000,4
Data Analyst,Adoro,Mumbai,2-5 Yrs,Computer science\nBasic\nSenior Analyst\nStatistical software\nMATLAB\nStatistics\nSQL\nPython,200,UG/PG,Full Time,500000-1500000,500000,1500000,2
Machine Learning Engineer,Advanced Micro Devices Inc,Bengaluru,2-4 Yrs,Python\nMachineLearning\nDataAnalysis\nLinux\nComputerArchitecture,15500,UG/PG,Full Time,600000-1600000,600000,1600000,2
Data Scientist,AERA SOFTWARE TECHNOLOGY PVT LTD,Pune,12-15 Yrs,Random Forest\nTime Series\nPython\nPredictive Modeling\nArima\nMachine Learning\nStatistics\nData Science,500,PG/Phd,Full Time,NA,#VALUE!,#VALUE!,12
Machine Learning Engineer,AERA SOFTWARE TECHNOLOGY PVT LTD,Pune,4-8 Yrs,Design\npython\nDocker\nspark\nkafka\nData science\nDeployment\nApache,500,PG/Phd,Full Time,NA,#VALUE!,#VALUE!,4
Data Scientist,Aera Technology,Pune,6-8 Yrs,SAN\nalgorithms\nBusiness operations\nComputer science\nRelationship Executive\napache\nLinux\ninfrastructure,500,Phd,Full Time,900000-1355000,900000,1355000,6
Data Scientist,Aera Technology,Pune,6-8 Yrs,SAN\nalgorithms\nBusiness operations\nComputer science\nRelationship Executive\napache\nLinux\ninfrastructure,500,Phd,Full Time,700000-1450000,700000,1450000,6
Data Analyst,AEROFOLIC BUSINESS SOLUTIONS PRIVATE LIMITED,Coimbatore,3-7 Yrs,Computer science\nData analysis\nAerospace\nScript writing\nAnalytical\nConsulting\nMachine learning\nITES,200,PG,Full Time,NA,#VALUE!,#VALUE!,3
Trainee-freshers-machine Learning-ai-data Scientist,Aficionado Technologies Pvt Ltd,Bengaluru,0 Yrs,Tensorflow\nNLP\nKeras\nKnn\nMachine Learning\nDeep Learning\nNumpy\nPython,200,UG,Full Time,1600000-1900000,1600000,1900000,#VALUE!
Data Scientist,Agenty,Gurgaon,2-7 Yrs,Business process\nBackend\nFront end\nMachine learning\nJavascript\nHTML\nMongoDB\nVisual Studio,500,UG/PG,Full Time,NA,#VALUE!,#VALUE!,2
Data Scientist,Agile Tech,Hyderabad,2-4 Yrs,IT Skills\nPython\nCloud\nAWS\nwork from home\npython\nf\npart time,50,UG/PG,Full Time,400000-700000,400000,700000,2
Data Scientist,Agiletech Info Solutions,Chennai,3-8 Yrs,Data Scientist,500,PG/Phd,Full Time,1200000-1700000,1200000,1700000,3
Data Scientist,AgileTech InfoSolutions,Chennai,4-9 Yrs,Retail\nC++\nAnalytical\nMachine learning\nE-commerce\nPerl\nPredictive modeling\nData mining,500,PG/Phd,Full Time,1300000-1700000,1300000,1700000,4
Data Analyst,AgNext Technologies ( India's leading Agri Tech driven Company),Mohali,1-5 Yrs,Computer science\ndata cleansing\nComputer vision\nImage processing\nArtificial Intelligence\nMachine learning\nInformation retrieval\nQlikView,200,UG/PG,Full Time,500000-800000,500000,800000,1
